id,paper,q,marks,section,type_auto,topics_auto,cmd,has_figure,needs,text_preview,correction
9990-2024m-22-q8a_i,P2,q8a_i,2,A,,method.observation;concept.evaluating,,,topic_lowconf,:    Explain one strength of this type of observation.  ....,
9990-2024m-22-q8b,P2,q8b,,A,,method.observation,,,marks_missing;topic_lowconf,Cerys uses a structured observation.,
9990-2024m-22-q8b_i,P2,q8b_i,2,A,,,suggest,,topic_empty,Suggest two behavioural categories that Cerys could use to m,
9990-2024m-22-q8b_ii,P2,q8b_ii,,A,,,,,topic_empty;marks_missing,In relation to using one of the behavioural categories you h,
9990-2024m-22-q8b_i,P2,q8b_i,2,A,,,,,topic_empty,:    Explain one practical problem that Cerys could have. Be,
9990-2024m-22-q9a,P2,q9a,1,A,,method.self_report,define,,topic_lowconf,Identify one closed question from A to D.  .................,
9990-2024m-22-q9b,P2,q9b,1,A,,method.self_report,define,,topic_lowconf,Identify one open question from A to D.  ...................,
9990-2024m-22-q9c,P2,q9c,2,A,,method.self_report;concept.evaluating,,,topic_lowconf,Nila wants to add this question to explore how adults use so,
9990-2024m-22-q10a,P2,q10a,10,B,,method.experiment;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Henri could conduct a laboratory experiment to ,
9990-2024m-22-q10b_i,P2,q10b_i,,B,,concept.evaluating,describe,,marks_missing;topic_lowconf,Describe one practical/methodological strength of the proced,
9990-2024m-22-q10a,P2,q10a,2,B,,concept.sampling,,,topic_lowconf,.    Do not refer to sampling or ethics in your answer.  ...,
9990-2024m-22-q10a_ii,P2,q10a_ii,,B,,,explain,,topic_empty;marks_missing,Explain why the feature of the procedure you have identified,
9990-2024m-22-q10b_i,P2,q10b_i,2,B,,concept.sampling,,,topic_lowconf,is a strength.    Do not refer to sampling or ethics in your,
9990-2025m-12-q1a,P1,q1a,1,A,,study.perry,define,Y,p1_type_empty;figure,Identify one other ‘approaching figure’.  ..................,
9990-2025m-12-q1b,P1,q1b,2,A,,study.perry,outline,Y,p1_type_empty;figure,Outline what is meant by the term ‘empathy’.  ..............,
9990-2025m-12-q1c,P1,q1c,2,A,,study.perry,outline,Y,p1_type_empty;figure,Outline one conclusion from this study.   ..................,
9990-2025m-12-q2a,P1,q2a,2,A,sample,approach.biological,outline,,topic_lowconf,Outline what happened during the ‘body scan’ part of the tra,
9990-2025m-12-q2b,P1,q2b,2,A,sample,approach.biological,explain,,topic_lowconf,Explain one weakness of this study.  .......................,
9990-2025m-12-q3a,P1,q3a,2,A,,study.dement_kleitman,,,p1_type_empty,One aim was to investigate whether eye movement patterns wer,
9990-2025m-12-q5a,P1,q5a,2,A,,approach.cognitive,outline,,topic_lowconf,Outline one assumption of the cognitive approach.  .........,
9990-2025m-12-q5b,P1,q5b,,A,,study.baron_cohen,explain,,p1_type_empty;marks_missing,Explain how the study by Baron-Cohen et al. (eyes test) supp,
9990-2025m-12-q5a,P1,q5a,2,A,,,,,topic_empty,.  .........................................................,
9990-2025m-12-q6a,P1,q6a,3,A,,study.fagen,outline,,p1_type_empty,Outline what is meant by the term ‘shaping’. Include an exam,
9990-2025m-12-q8,P1,q8,4,A,,study.piliavin,,,p1_type_empty,"8 Your friend, Aditi, has read a newspaper story about a per",
9990-2025m-22-q1a,P2,q1a,1,A,,method.observation;concept.data_analysis,outline,,topic_lowconf,Outline what is meant by an overt observation.  ............,
9990-2025m-22-q1b_i,P2,q1b_i,2,A,,method.observation,suggest,,topic_lowconf,Suggest one reason why an overt observation may be better th,
9990-2025m-22-q1b_ii,P2,q1b_ii,2,A,,method.observation,suggest,,topic_lowconf,Suggest one reason why an overt observation may not be bette,
9990-2025m-22-q2,P2,q2,3,A,,method.longitudinal,,,topic_lowconf,2 Dr Bryan has been asked to investigate the ef fects of a n,
9990-2025m-22-q3,P2,q3,2,A,,concept.sampling,,Y,topic_lowconf;figure,3 In the study by Hölzel et al. (mindfulness and brain scans,
9990-2025m-22-q4a,P2,q4a,2,A,,,outline,,topic_empty,Outline the most appropriate measure of central tendency to ,
9990-2025m-22-q4b,P2,q4b,1,A,,concept.data_analysis,,Y,topic_lowconf;figure,"In a study, the measures of central tendency from the maths ",
9990-2025m-22-q5a,P2,q5a,2,A,,concept.validity,suggest,,topic_lowconf,Suggest one way that the performance test could have lacked ,
9990-2025m-22-q5b,P2,q5b,1,A,,concept.validity,suggest,,topic_lowconf,Suggest one way that the validity of the performance test co,
9990-2025m-22-q6,P2,q6,6,A,,concept.types_of_data,,,topic_lowconf,"6 Describe quantitative data and qualitative data, using any",
9990-2025m-22-q7a,P2,q7a,,A,,,,,topic_empty;marks_missing,Jacinda arranges the distance between workstations. In one s,
9990-2025m-22-q7a_i,P2,q7a_i,2,A,,concept.variables,suggest,,topic_lowconf,Suggest two situational variables that should be controlled ,
9990-2025m-22-q7a_ii,P2,q7a_ii,,A,,,,,topic_empty;marks_missing,For each of your suggestions in part,
9990-2025m-22-q7a_i,P2,q7a_i,4,A,,concept.variables,,,topic_lowconf,:    Explain why each situational variable would be relevant,
9990-2025m-22-q7b,P2,q7b,3,A,,concept.sampling,suggest,,topic_lowconf,Suggest how Jacinda could obtain a volunteer sample for her ,
9990-2025m-22-q7c,P2,q7c,2,A,,method.self_report,suggest,,topic_lowconf,Suggest how Jacinda could measure her participants’  interpe,
9990-2025m-22-q8a_i,P2,q8a_i,1,A,,concept.ethics,suggest,Y,topic_lowconf;figure,Suggest one ethical reason why it is important that the monk,
9990-2025m-22-q8a_ii,P2,q8a_ii,1,A,,concept.ethics,suggest,Y,topic_lowconf;figure,Suggest one methodological reason why it is important that t,
9990-2025m-22-q8b,P2,q8b,2,A,,concept.ethics,suggest,,topic_lowconf,Suggest one way to measure which material the monkeys prefer,
9990-2025m-22-q8c,P2,q8c,2,A,,concept.ethics,define,,topic_lowconf,Identify two features that are important in the ‘housing’  g,
9990-2025m-22-q9a,P2,q9a,2,A,,method.experiment;concept.variables,explain,,topic_lowconf,Explain why it is better to use a correlation than an experi,
9990-2025m-22-q9b,P2,q9b,1,A,,concept.variables,suggest,,topic_lowconf,Suggest one way that exercise could be measured in this inve,
9990-2025m-22-q9c,P2,q9c,,A,,concept.variables,,,marks_missing;topic_lowconf,For the way of measuring exercise you suggested in part,
9990-2025m-22-q9b,P2,q9b,,A,,concept.variables,,,marks_missing;topic_lowconf,:,
9990-2025m-22-q9b_i,P2,q9b_i,2,A,,concept.variables,suggest,,topic_lowconf,Suggest one strength of this way of measuring exercise.  ...,
9990-2025m-22-q9b_ii,P2,q9b_ii,2,A,,concept.variables,suggest,,topic_lowconf,Suggest one weakness of this way of measuring exercise.  ...,
9990-2025m-22-q10a,P2,q10a,10,B,,method.self_report;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Dr Anand could use structured interviews to stu,
9990-2025m-22-q10b_i,P2,q10b_i,,B,,method.self_report,explain,,marks_missing;topic_lowconf,Explain how one feature of the procedure you described in pa,
9990-2025m-22-q10a,P2,q10a,2,B,,method.self_report;concept.sampling;concept.ethics;concept.reliability,,,topic_lowconf,helps to make the  study reliable.    Do not refer to sampli,
9990-2025m-22-q10a_ii,P2,q10a_ii,,B,,method.self_report,explain,,marks_missing;topic_lowconf,Explain how one feature of the procedure you described in pa,
9990-2025m-22-q10a,P2,q10a,2,B,,method.self_report;concept.sampling;concept.ethics;concept.reliability,,,topic_lowconf,could be a problem  for reliability of the study.    Do not ,
9990-2026m-12-q1b,P1,q1b,2,A,,study.baron_cohen,outline,,p1_type_empty,Outline what is meant by ‘social sensitivity’.  ............,
9990-2026m-12-q3,P1,q3,4,A,,study.andrade,,,p1_type_empty,3 A local business wants to introduce activities that will h,
9990-2026m-12-q4a,P1,q4a,3,A,,study.bandura,outline,,p1_type_empty,"Outline one assumption of the learning approach, including a",
9990-2026m-12-q5,P1,q5,4,A,application_everyday,approach.biological;debate.application_everyday,,,topic_lowconf,5 Suggest two applications to everyday life of the study by ,
9990-2026m-12-q6a,P1,q6a,,A,ethical_issues,study.pozzulo,explain,,marks_missing,Explain whether each ethical guideline below was broken:,
9990-2026m-12-q6a_ii,P1,q6a_ii,2,A,,study.pozzulo,,,p1_type_empty,minimising harm  ...........................................,
9990-2026m-12-q7,P1,q7,4,A,,study.fagen;debate.individual_situational,,,p1_type_empty,7 The debate about individual and situational explanations r,
9990-2026m-12-q8,P1,q8,5,A,,study.piliavin,,,p1_type_empty,8 Describe the background to the study by Piliavin et al. (s,
9990-2026m-12-q9a,P1,q9a,4,B,,study.hassett,describe,,p1_type_empty,Describe the housing conditions for the rhesus monkeys in th,
9990-2026m-22-q1a,P2,q1a,1,A,,concept.data_analysis,define,Y,topic_lowconf;figure,State the mode for the set of results in Table 1.1.  Table 1,
9990-2026m-22-q1b,P2,q1b,1,A,,concept.data_analysis,explain,,topic_lowconf,Explain why the mode is a measure of central tendency.  ....,
9990-2026m-22-q2a,P2,q2a,1,A,,method.experiment;concept.data_analysis,outline,,topic_lowconf,Outline what is meant by an ‘independent measures design’.  ,
9990-2026m-22-q2b,P2,q2b,1,A,,method.experiment,explain,,topic_lowconf,Explain one reason why the experimental design in this study,
9990-2026m-22-q3,P2,q3,2,A,,concept.ethics,,,topic_lowconf,3 The study by Fagen et al. (elephant learning) used captive,
9990-2026m-22-q4a,P2,q4a,1,A,,concept.sampling,,,topic_lowconf,Some of the participants were sleep researchers and members ,
9990-2026m-22-q4b,P2,q4b,4,A,,concept.sampling,explain,,topic_lowconf,Explain two weaknesses of the sample used. 1  ..............,
9990-2026m-22-q5a,P2,q5a,2,A,,concept.variables,describe,,topic_lowconf,"Describe what is meant by a ‘participant variable’, includin",
9990-2026m-22-q5b,P2,q5b,2,A,,concept.variables,describe,,topic_lowconf,"Describe what is meant by a ‘situational variable’, includin",
9990-2026m-22-q6,P2,q6,6,A,,concept.variables,,,topic_lowconf,6 Describe how independent variables (IVs) can be operationa,
9990-2026m-22-q7a,P2,q7a,,A,,,,,topic_empty;marks_missing,Chun’s behavioural checklist will include nodding and two ot,
9990-2026m-22-q7a_i,P2,q7a_i,2,A,,,suggest,,topic_empty,Suggest two categories other than nodding that Chun could re,
9990-2026m-22-q7a_ii,P2,q7a_ii,,A,,,,,topic_empty;marks_missing,For one of the categories you have suggested in 7(a),
9990-2026m-22-q7a_i,P2,q7a_i,1,A,,concept.validity,,,topic_lowconf,:    Explain one reason observing that category would be val,
9990-2026m-22-q7a_iii,P2,q7a_iii,,A,,,,,topic_empty;marks_missing,For one of the categories you have suggested in 7(a),
9990-2026m-22-q7a_i,P2,q7a_i,1,A,,concept.validity,,,topic_lowconf,:    Explain one reason observing that category may not be v,
9990-2026m-22-q7b,P2,q7b,3,A,,concept.data_analysis,,Y,topic_lowconf;figure,The behavioural checklist will be a table for collecting dat,
9990-2026m-22-q7c,P2,q7c,4,A,,concept.ethics,explain,,topic_lowconf,Explain how two ethical guidelines are relevant to Chun’s st,
9990-2026m-22-q8,P2,q8,,A,,method.experiment,,,marks_missing;topic_lowconf,8 Helen has conducted an experiment to test the ability of t,
9990-2026m-22-q40a,P2,q40a,,A,,,,,topic_empty;marks_missing,The aggressive faces and non‑aggressive faces that Helen use,
9990-2026m-22-q40a_i,P2,q40a_i,2,A,,,suggest,,topic_empty,Suggest two features of the faces that Helen should have ens,
9990-2026m-22-q40a_ii,P2,q40a_ii,,A,,,,,topic_empty;marks_missing,For one of the features that you suggested in 8(a),
9990-2026m-22-q40a_i,P2,q40a_i,2,A,,,,,topic_empty,:    Explain why it was important for that feature to be sim,
9990-2026m-22-q40b,P2,q40b,2,A,,,,Y,topic_empty;figure,Helen’s results are shown in Figure 8.1. 0 3 5 5 10 15 20 to,
9990-2026m-22-q9a,P2,q9a,,A,,method.longitudinal,,,marks_missing;topic_lowconf,Sundar plans to recruit children who are 15 years old and st,
9990-2026m-22-q30_i,P2,q30_i,2,A,,concept.sampling,describe,,topic_lowconf,Describe one way that Sundar could recruit a representative ,
9990-2026m-22-q30_ii,P2,q30_ii,2,A,,concept.sampling,suggest,,topic_lowconf,Suggest one reason why Sundar should recruit his sample from,
9990-2026m-22-q30b,P2,q30b,,A,,,,,topic_empty;marks_missing,Sundar will need to recontact his participants during the st,
9990-2026m-22-q30b_i,P2,q30b_i,2,A,,concept.data_analysis,suggest,Y,topic_lowconf;figure,Suggest a suitable time interval for Sundar to retest his pa,
9990-2026m-22-q30b_ii,P2,q30b_ii,2,A,,,suggest,,topic_empty,Suggest two problems that Sundar may have when recontacting ,
9990-2026m-22-q10a,P2,q10a,10,B,,method.correlation;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Chris could conduct a correlational study to in,
9990-2026m-22-q10b,P2,q10b,,B,,,,,topic_empty;marks_missing,For one part of the procedure you described in 10(a):,
9990-2026m-22-q10b_i,P2,q10b_i,2,B,,concept.sampling,describe,,topic_lowconf,Describe one practical/methodological strength of this part ,
9990-2026m-22-q10b_ii,P2,q10b_ii,2,B,,concept.sampling,describe,,topic_lowconf,Describe one practical/methodological weakness of this part ,
9990-2024s-11-q1a,P1,q1a,1,A,,study.pozzulo,define,,p1_type_empty,Identify one of the cartoon characters used.  ..............,
9990-2024s-11-q1c,P1,q1c,2,A,,study.pozzulo,outline,,p1_type_empty,Outline one conclusion from this study.  ...................,
9990-2024s-11-q2a,P1,q2a,2,A,,study.milgram,outline,,p1_type_empty,Outline one aim of this study.  ............................,
9990-2024s-11-q4a,P1,q4a,2,A,,study.bandura,outline,,p1_type_empty,Outline how ‘mallet aggression’ was defined in this study.  ,
9990-2024s-11-q4b,P1,q4b,3,A,,study.bandura,outline,,p1_type_empty,"Outline one feature of social learning theory, using an exam",
9990-2024s-12-q2a,P1,q2a,2,A,,study.andrade,outline,,p1_type_empty,Outline the experimental design used in this study.  .......,
9990-2024s-12-q2b,P1,q2b,2,A,,study.andrade,outline,,p1_type_empty,Outline one conclusion from this study.  ...................,
9990-2024s-12-q3b,P1,q3b,,A,sample,study.dement_kleitman,outline,,marks_missing,Outline one result in relation to dream duration estimates w,
9990-2024s-12-q15,P1,q15,2,A,,,,,topic_empty,15 minutes after the onset of REM sleep.  ..................,
9990-2024s-12-q15c,P1,q15c,2,A,evaluation,,explain,,topic_empty,Explain one weakness of this study.  .......................,
9990-2024s-12-q4a,P1,q4a,2,A,,study.milgram,outline,,p1_type_empty,Outline what is meant by the term ‘obedience’.  ............,
9990-2024s-12-q5,P1,q5,5,A,application_everyday,approach.biological;debate.application_everyday,,,topic_lowconf,5 Suggest at least one application to everyday life of the s,
9990-2024s-12-q6,P1,q6,5,A,,study.pozzulo,,,p1_type_empty,6 From the study by Pozzulo et al. (line-ups):  Describe the,
9990-2024s-12-q9a,P1,q9a,4,B,,study.fagen,describe,,p1_type_empty,Describe the psychology being investigated in the study by F,
9990-2024s-12-q9b,P1,q9b,8,B,,study.fagen,explain,,p1_type_empty,Explain one similarity and one dif ference between the study,
9990-2024s-13-q1b,P1,q1b,2,A,,study.perry,outline,,p1_type_empty,Outline what is meant by the term ‘interpersonal distance (p,
9990-2024s-13-q2a,P1,q2a,2,A,,study.bandura,outline,,p1_type_empty,Outline one aim of this study.  ............................,
9990-2024s-13-q2b,P1,q2b,2,A,,study.bandura,outline,,p1_type_empty,Outline how the response measure of ‘aggressive gun play’ wa,
9990-2024s-13-q4a,P1,q4a,3,A,,study.andrade,describe,,p1_type_empty,Describe what is meant by the term ‘attention’.  ...........,
9990-2024s-13-q6,P1,q6,5,A,,study.fagen,,,p1_type_empty,6 From the study by Fagen et al. (elephant learning):  Descr,
9990-2024s-13-q7,P1,q7,4,A,sample,approach.biological;debate.use_of_children,,,topic_lowconf,7 Suggest two problems that could arise if children were use,
9990-2024s-21-q1a,P2,q1a,1,A,,concept.sampling,define,,topic_lowconf,Identify the sampling technique used in the study by Milgram,
9990-2024s-21-q1b,P2,q1b,2,A,,concept.sampling,outline,,topic_lowconf,Outline how the sample was obtained in this study.  ........,
9990-2024s-21-q2,P2,q2,2,A,,concept.ethics,,,topic_lowconf,2 Explain what is meant by the ethical guideline of ‘species,
9990-2024s-21-q3a,P2,q3a,2,A,,concept.types_of_data,define,,topic_lowconf,Identify the type of data provided by counting the words in ,
9990-2024s-21-q3b,P2,q3b,2,A,,concept.types_of_data,explain,,topic_lowconf,Explain one strength of collecting this type of data in this,
9990-2024s-21-q4a,P2,q4a,2,A,,method.experiment;concept.data_analysis,explain,,topic_lowconf,"Explain what is meant by an ‘independent measures design’, i",
9990-2024s-21-q4b,P2,q4b,2,A,,method.experiment;concept.controls;concept.data_analysis,explain,,topic_lowconf,"Explain what is meant by a ‘control condition’, including an",
9990-2024s-21-q4c,P2,q4c,2,A,,method.experiment,suggest,,topic_lowconf,Suggest how Glyn could measure social learning (learning by ,
9990-2024s-21-q5a,P2,q5a,3,A,,method.self_report;concept.ethics,explain,,topic_lowconf,Explain why it was necessary to gain consent from both the c,
9990-2024s-21-q5b,P2,q5b,1,A,,method.self_report,,,topic_lowconf,"To test correct identification of the cartoon characters, ma",
9990-2024s-21-q5c,P2,q5c,4,A,,method.self_report;concept.data_analysis,,Y,topic_lowconf;figure,Fig. 5.1 shows some of the data from this study. Use this gr,
9990-2024s-21-q6,P2,q6,6,A,,method.observation,,,topic_lowconf,6 Describe participant observation and non-participant obser,
9990-2024s-21-q7a,P2,q7a,2,A,,concept.data_analysis,,,topic_lowconf,Ranya will use two different measures of central tendency on,
9990-2024s-21-q7b_i,P2,q7b_i,1,A,,concept.data_analysis,explain,,topic_lowconf,Explain how Ranya would calculate the range of hours spent s,
9990-2024s-21-q7b_ii,P2,q7b_ii,2,A,,concept.data_analysis,,,topic_lowconf,Ranya’s colleague says she should use the standard deviation,
9990-2024s-21-q7c,P2,q7c,1,A,,concept.aims_hypotheses,,,topic_lowconf,Ranya will use a non-directional (two-tailed) hypothesis abo,
9990-2024s-21-q8a,P2,q8a,1,A,,concept.variables,define,,topic_lowconf,Identify the independent variable (IV) in Simon’s study.  ..,
9990-2024s-21-q8b,P2,q8b,1,A,,concept.variables,define,,topic_lowconf,Identify the dependent variable (DV) in Simon’s study.  ....,
9990-2024s-21-q8c,P2,q8c,3,A,,,,,topic_empty,All the pictures and shapes are brightly coloured.   Explain,
9990-2024s-21-q9a,P2,q9a,1,A,,concept.variables,explain,,topic_lowconf,Explain which one of these problems is a participant variabl,
9990-2024s-21-q9b,P2,q9b,1,A,,concept.variables,explain,,topic_lowconf,Explain which one of these problems is a situational variabl,
9990-2024s-21-q9c_i,P2,q9c_i,2,A,,concept.variables,suggest,,topic_lowconf,Suggest how Heng could limit the problem of one of these unc,
9990-2024s-21-q9c_ii,P2,q9c_ii,,A,,concept.variables,,,marks_missing;topic_lowconf,Trying to limit a problem in a study can create further issu,
9990-2024s-21-q9c_i,P2,q9c_i,2,A,,concept.variables,,,topic_lowconf,could create for Heng.  ....................................,
9990-2024s-21-q10a,P2,q10a,10,B,,method.case_study;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Mary could conduct a case study of doodling in ,
9990-2024s-21-q10b_i,P2,q10b_i,,B,,method.case_study,explain,,marks_missing;topic_lowconf,Explain how one feature of the procedure you described in pa,
9990-2024s-21-q10a,P2,q10a,2,B,,method.case_study;concept.sampling;concept.ethics;concept.validity,,,topic_lowconf,helps to make the  study valid.    Do not refer to sampling ,
9990-2024s-21-q10a_ii,P2,q10a_ii,,B,,method.case_study;concept.reliability,suggest,,marks_missing;topic_lowconf,Suggest one way to improve the reliability of the procedure ,
9990-2024s-21-q10a,P2,q10a,2,B,,method.case_study;concept.sampling;concept.ethics,,,topic_lowconf,.  Justify your answer.    Do not refer to sampling or ethic,
9990-2024s-22-q1a_i,P2,q1a_i,2,A,,method.case_study,define,,topic_lowconf,State the two main features of a case study. 1  ............,
9990-2024s-22-q1a_ii,P2,q1a_ii,2,A,,method.case_study,explain,,topic_lowconf,Explain why the study by Saavedra and Silverman (button phob,
9990-2024s-22-q1b,P2,q1b,3,A,,method.case_study;concept.validity,explain,,topic_lowconf,Explain one way to improve validity in a case study.  ......,
9990-2024s-22-q2a_i,P2,q2a_i,2,A,,concept.sampling,explain,,topic_lowconf,Explain the sampling technique Kanav used.  ................,
9990-2024s-22-q2a_ii,P2,q2a_ii,2,A,,concept.sampling,suggest,,topic_lowconf,Suggest one weakness of using this sampling technique in Kan,
9990-2024s-22-q3a,P2,q3a,1,A,,concept.aims_hypotheses,,,topic_lowconf,A study has the hypothesis ‘Four-year-old children make more,
9990-2024s-22-q3b,P2,q3b,,A,,,explain,,topic_empty;marks_missing,Explain the reason for your choice in part,
9990-2024s-22-q3a,P2,q3a,2,A,,,,,topic_empty,.  .........................................................,
9990-2024s-22-q4,P2,q4,4,A,,concept.ethics,,,topic_lowconf,4 The study by Hassett et al. (monkey toy preferences) used ,
9990-2024s-22-q5a,P2,q5a,1,A,,concept.controls,define,,topic_lowconf,Identify this control task.  ...............................,
9990-2024s-22-q5b,P2,q5b,1,A,,concept.controls,outline,,topic_lowconf,Outline what participants were required to do in this contro,
9990-2024s-22-q6,P2,q6,6,A,,method.correlation;concept.variables,,,topic_lowconf,"6 Describe how variables in correlations can be measured, us",
9990-2024s-22-q7a,P2,q7a,1,A,,method.self_report,define,,topic_lowconf,Identify one closed question from A to D.  .................,
9990-2024s-22-q7b,P2,q7b,1,A,,method.self_report,define,,topic_lowconf,Identify one open question from A to D.  ...................,
9990-2024s-22-q7c,P2,q7c,,A,,method.self_report,,,marks_missing;topic_lowconf,Chyou has written two questions to investigate the process o,
9990-2024s-22-q7c_i,P2,q7c_i,1,A,,method.self_report;concept.evaluating,define,,topic_lowconf,State one strength of question E.  .........................,
9990-2024s-22-q7c_ii,P2,q7c_ii,1,A,,method.self_report;concept.evaluating,define,,topic_lowconf,State one strength of question F.  .........................,
9990-2024s-22-q7d,P2,q7d,2,A,,method.self_report,suggest,,topic_lowconf,Suggest two questions Chyou could ask to investigate factors,
9990-2024s-22-q8a,P2,q8a,2,A,,concept.sampling,,Y,topic_lowconf;figure,Daku’s conclusion is that girls are more obedient than boys.,
9990-2024s-22-q8b,P2,q8b,2,A,,concept.sampling,,Y,topic_lowconf;figure,Jedda suggests that Daku needs a bigger sample.   Explain on,
9990-2024s-22-q8c,P2,q8c,,A,,concept.variables,,Y,marks_missing;topic_lowconf;figure,Daku has identified a problem caused by an uncontrolled vari,
9990-2024s-22-q8c_i,P2,q8c_i,1,A,,concept.variables,explain,Y,topic_lowconf;figure,Explain whether this problem is caused by a situational vari,
9990-2024s-22-q8c_ii,P2,q8c_ii,1,A,,concept.data_analysis,explain,Y,topic_lowconf;figure,Explain how this problem would have affected Daku’s results.,
9990-2024s-22-q9a,P2,q9a,2,A,,,suggest,,topic_empty,Suggest one problem with Carol’s measure of the music.  ....,
9990-2024s-22-q9b,P2,q9b,4,A,,concept.ethics,,,topic_lowconf,Carol records the time each person in the sports centre star,
9990-2024s-22-q9c,P2,q9c,2,A,,,explain,,topic_empty,Explain one reason why it is important that Carol visits the,
9990-2024s-22-q10a,P2,q10a,10,B,,method.observation;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Chloë could conduct an observational study usin,
9990-2024s-22-q10b_i,P2,q10b_i,,B,,concept.evaluating,describe,,marks_missing;topic_lowconf,Describe one practical/methodological strength of the proced,
9990-2024s-22-q10a,P2,q10a,2,B,,concept.sampling,,,topic_lowconf,.    Do not refer to sampling or ethics in your answer.  ...,
9990-2024s-22-q10a_ii,P2,q10a_ii,,B,,concept.evaluating,describe,,marks_missing;topic_lowconf,Describe one practical/methodological weakness of the proced,
9990-2024s-22-q10a,P2,q10a,2,B,,concept.sampling,,,topic_lowconf,.    Do not refer to sampling or ethics in your answer.  ...,
9990-2024s-23-q1,P2,q1,2,A,,method.observation;concept.data_analysis,,,topic_lowconf,"1 Explain what is meant by a covert observation, using any e",
